WandB run: vibrant-fog-3
pretrained_path: /mnt/xspark-data/xspark_shared/model_weights/Spirit-v1.5
seed: 0
Model config loaded: dit=1536, n_action_steps=60, attention=eager
Loading dataset...
Computing normalization stats...
Computing norm stats from 20000 samples...
Loading samples: 100%|█████████████████████████████████| 625/625 [00:15<00:00, 39.70it/s]
State percentile range [p1, p99]: [-2.9023, 2.9583]
Action percentile range [p1, p99]: [-1.5174, 1.5528]
Creating model...
'(MaxRetryError("HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /Qwen/Qwen3-VL-4B-Instruct/resolve/main/tokenizer_config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1032)')))"), '(Request ID: 2ef378d5-c746-4486-94a2-3766defb4ddf)')' thrown while requesting HEAD https://huggingface.co/Qwen/Qwen3-VL-4B-Instruct/resolve/main/tokenizer_config.json
Retrying in 1s [Retry 1/5].
Loading checkpoint shards: 100%|███████████████████████████| 2/2 [00:08<00:00,  4.19s/it]
FA2 is available, enabling FA2 automatically
Applied FSDP to model (ignored_modules=303)
Starting training...
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Step 0/50000 | Loss: 0.3101 | LR: 5.00e-08
Step 25/50000 | Loss: 0.2339 | LR: 6.75e-07
Step 50/50000 | Loss: 0.1525 | LR: 1.30e-06
Step 75/50000 | Loss: 0.1118 | LR: 1.93e-06
Step 100/50000 | Loss: 0.0965 | LR: 2.55e-06
Step 125/50000 | Loss: 0.0916 | LR: 3.18e-06
Step 150/50000 | Loss: 0.0814 | LR: 3.80e-06
Step 175/50000 | Loss: 0.0771 | LR: 4.42e-06
Step 200/50000 | Loss: 0.0875 | LR: 5.05e-06
Step 225/50000 | Loss: 0.0743 | LR: 5.68e-06
Step 250/50000 | Loss: 0.0675 | LR: 6.30e-06
Step 275/50000 | Loss: 0.0714 | LR: 6.93e-06
Step 300/50000 | Loss: 0.0647 | LR: 7.55e-06
Step 325/50000 | Loss: 0.0525 | LR: 8.18e-06
Step 350/50000 | Loss: 0.0849 | L
